pair,layer,direction,logodds_rec,entropy_rec
0,0,control_to_uncertain,1.0,1.0
0,1,control_to_uncertain,1.0,1.0
0,2,control_to_uncertain,1.0,1.0
0,3,control_to_uncertain,1.0,1.0
0,4,control_to_uncertain,1.0,1.0
0,5,control_to_uncertain,1.0,1.0
0,6,control_to_uncertain,1.0,1.0
0,7,control_to_uncertain,1.0,1.0
0,8,control_to_uncertain,1.0,1.0
0,9,control_to_uncertain,1.0,1.0
0,10,control_to_uncertain,1.0,1.0
0,11,control_to_uncertain,1.0,1.0
0,12,control_to_uncertain,1.0,1.0
0,13,control_to_uncertain,1.0,1.0
0,14,control_to_uncertain,1.0,1.0
0,15,control_to_uncertain,1.0,1.0
0,16,control_to_uncertain,1.0,1.0
0,17,control_to_uncertain,1.0,1.0
0,18,control_to_uncertain,1.0,1.0
0,19,control_to_uncertain,1.0,1.0
0,20,control_to_uncertain,1.0,1.0
0,21,control_to_uncertain,1.0,1.0
0,22,control_to_uncertain,1.0,1.0
0,23,control_to_uncertain,1.0,1.0
0,24,control_to_uncertain,1.0,1.0
0,25,control_to_uncertain,1.0,1.0
0,26,control_to_uncertain,1.0,1.0
0,27,control_to_uncertain,1.0,1.0
0,28,control_to_uncertain,1.0,1.0
0,29,control_to_uncertain,1.0,1.0
0,30,control_to_uncertain,1.0,1.0
0,31,control_to_uncertain,1.0,1.0
0,0,uncertain_to_control,1.0,1.0
0,1,uncertain_to_control,1.0,1.0
0,2,uncertain_to_control,1.0,1.0
0,3,uncertain_to_control,1.0,1.0
0,4,uncertain_to_control,1.0,1.0
0,5,uncertain_to_control,1.0,1.0
0,6,uncertain_to_control,1.0,1.0
0,7,uncertain_to_control,1.0,1.0
0,8,uncertain_to_control,1.0,1.0
0,9,uncertain_to_control,1.0,1.0
0,10,uncertain_to_control,1.0,1.0
0,11,uncertain_to_control,1.0,1.0
0,12,uncertain_to_control,1.0,1.0
0,13,uncertain_to_control,1.0,1.0
0,14,uncertain_to_control,1.0,1.0
0,15,uncertain_to_control,1.0,1.0
0,16,uncertain_to_control,1.0,1.0
0,17,uncertain_to_control,1.0,1.0
0,18,uncertain_to_control,1.0,1.0
0,19,uncertain_to_control,1.0,1.0
0,20,uncertain_to_control,1.0,1.0
0,21,uncertain_to_control,1.0,1.0
0,22,uncertain_to_control,1.0,1.0
0,23,uncertain_to_control,1.0,1.0
0,24,uncertain_to_control,1.0,1.0
0,25,uncertain_to_control,1.0,1.0
0,26,uncertain_to_control,1.0,1.0
0,27,uncertain_to_control,1.0,1.0
0,28,uncertain_to_control,1.0,1.0
0,29,uncertain_to_control,1.0,1.0
0,30,uncertain_to_control,1.0,1.0
0,31,uncertain_to_control,1.0,1.0
1,0,control_to_uncertain,1.0,1.0
1,1,control_to_uncertain,1.0,1.0
1,2,control_to_uncertain,1.0,1.0
1,3,control_to_uncertain,1.0,1.0
1,4,control_to_uncertain,1.0,1.0
1,5,control_to_uncertain,1.0,1.0
1,6,control_to_uncertain,1.0,1.0
1,7,control_to_uncertain,1.0,1.0
1,8,control_to_uncertain,1.0,1.0
1,9,control_to_uncertain,1.0,1.0
1,10,control_to_uncertain,1.0,1.0
1,11,control_to_uncertain,1.0,1.0
1,12,control_to_uncertain,1.0,1.0
1,13,control_to_uncertain,1.0,1.0
